1,1,0.258000,0.020000,0.052000,0.027000,0.28000
1,2,0.708000,0.049000,0.145000,0.088000,0.76900
1,3,0.699000,0.049000,0.117000,0.072000,0.75800
1,4,0.661000,0.048000,0.134000,0.071000,0.72000
1,5,0.664000,0.049000,0.136000,0.071000,0.72300
1,6,0.659000,0.048000,0.137000,0.071000,0.71800
1,7,0.700000,0.048000,0.136000,0.071000,0.75900
1,8,0.664000,0.048000,0.136000,0.072000,0.72200
1,9,0.664000,0.049000,0.136000,0.072000,0.72400
1,10,0.661000,0.048000,0.135000,0.071000,0.71900
1,11,0.662000,0.048000,0.137000,0.072000,0.72100
1,12,0.666000,0.049000,0.136000,0.073000,0.72600
1,13,0.665000,0.048000,0.136000,0.072000,0.72400
1,14,0.664000,0.048000,0.135000,0.072000,0.72400
1,15,0.661000,0.048000,0.136000,0.072000,0.71800
1,16,0.678000,0.048000,0.136000,0.071000,0.73800
1,17,0.660000,0.049000,0.135000,0.071000,0.71800
1,18,0.666000,0.048000,0.137000,0.072000,0.72500
1,19,0.669000,0.049000,0.137000,0.070000,0.72700
1,20,0.685000,0.048000,0.151000,0.071000,0.74400
1,21,0.699000,0.048000,0.166000,0.076000,0.75900
1,22,0.671000,0.048000,0.136000,0.080000,0.73100
1,23,0.661000,0.048000,0.137000,0.072000,0.72000
1,24,0.680000,0.049000,0.150000,0.071000,0.74000
1,25,0.659000,0.048000,0.136000,0.070000,0.71700
1,26,0.663000,0.048000,0.136000,0.072000,0.72100
1,27,0.719000,0.049000,0.136000,0.071000,0.77800
1,28,0.660000,0.048000,0.135000,0.074000,0.71900
1,29,0.664000,0.047000,0.136000,0.072000,0.72100
1,30,0.664000,0.048000,0.135000,0.073000,0.72400
1,31,0.702000,0.048000,0.139000,0.106000,0.75900
1,32,0.666000,0.049000,0.141000,0.072000,0.72500
1,33,0.660000,0.048000,0.135000,0.071000,0.71900
1,34,0.659000,0.048000,0.136000,0.072000,0.71800
1,35,0.676000,0.048000,0.138000,0.072000,0.73500
1,36,0.660000,0.049000,0.136000,0.071000,0.72100
1,37,0.662000,0.048000,0.136000,0.071000,0.72300
1,38,0.669000,0.049000,0.142000,0.072000,0.72800
1,39,0.658000,0.048000,0.135000,0.071000,0.71500
1,40,0.257000,0.019000,0.052000,0.027000,0.28100
1,41,0.257000,0.019000,0.051000,0.028000,0.28100
1,42,0.320000,0.020000,0.051000,0.027000,0.35600
1,43,0.423000,0.031000,0.086000,0.045000,0.46200
1,44,0.619000,0.045000,0.125000,0.067000,0.67200
1,45,0.660000,0.049000,0.135000,0.071000,0.71900
1,46,0.731000,0.049000,0.171000,0.073000,0.79600
1,47,0.664000,0.048000,0.135000,0.072000,0.72200
1,48,0.661000,0.048000,0.136000,0.071000,0.71900
1,49,0.660000,0.049000,0.136000,0.071000,0.72000
1,50,0.700000,0.048000,0.136000,0.072000,0.75900
2,1,0.534500,0.042500,0.131000,0.068500,1.15700
